Timestamp;ortsnetztrafo_Strom_L1;ortsnetztrafo_Strom_L2;ortsnetztrafo_Strom_L3;ortsnetztrafo_Spannung_L1N;ortsnetztrafo_Spannung_L2N;ortsnetztrafo_Spannung_L3N;ortsnetztrafo_Spannung_L12;ortsnetztrafo_Spannung_L23;ortsnetztrafo_Spannung_L31;ortsnetztrafo_Scheinleistung_L1;ortsnetztrafo_Scheinleistung_L2;ortsnetztrafo_Scheinleistung_L3;ortsnetztrafo_Wirkleistung_L1;ortsnetztrafo_Wirkleistung_L2;ortsnetztrafo_Wirkleistung_L3;ortsnetztrafo_Blindleistung_L1;ortsnetztrafo_Blindleistung_L2;ortsnetztrafo_Blindleistung_L3;ortsnetztrafo_Leistungsfaktor_L1;ortsnetztrafo_Leistungsfaktor_L2;ortsnetztrafo_Leistungsfaktor_L3;ortsnetztrafo_Frequenz;ortsnetztrafo_Scheinleistung_gesamt;ortsnetztrafo_Wirkleistung_gesamt;ortsnetztrafo_Blindleistung_gesamt;ortsnetztrafo_Leistungsfaktor_gesamt;smartmeter_Strom Phase L1;smartmeter_Strom Phase L2;smartmeter_Strom Phase L3;smartmeter_Strom gesamt;smartmeter_Spannung U1-N;smartmeter_Spannung U2-N;smartmeter_Spannung U3-N;smartmeter_Spannung U12;smartmeter_Spannung U23;smartmeter_Spannung U31;smartmeter_Wirkleistung gesamt;smartmeter_Wirkleistung Phase 1;smartmeter_Wirkleistung Phase 2;smartmeter_Wirkleistung Phase 3;smartmeter_Blindleistung gesamt;smartmeter_Blindleistung Phase 1;smartmeter_Blindleistung Phase 2;smartmeter_Blindleistung Phase 3;smartmeter_Scheinleistung gesamt;smartmeter_Scheinleistung Phase 1;smartmeter_Scheinleistung Phase 2;smartmeter_Scheinleistung Phase 3;smartmeter_Powerfactor gesamt;smartmeter_Powerfactor Phase 1;smartmeter_Powerfactor Phase 2;smartmeter_Powerfactor Phase 3;smartmeter_Frequenz;wechselrichter_Status;wechselrichter_Frequenz [Hz];wechselrichter_Strom Phase L1 [A];wechselrichter_Strom Phase L2 [A];wechselrichter_Strom Phase L3 [A];wechselrichter_Spannung U1-N [V];wechselrichter_Spannung U2-N [V];wechselrichter_Spannung U3-N [V];wechselrichter_Spannung U12 [V];wechselrichter_Spannung U23 [V];wechselrichter_Spannung U31 [V];wechselrichter_Wirkleistung gesamt [W];wechselrichter_Blindleistung gesamt [var];wechselrichter_Scheinleistung gesamt [VA];wechselrichter_Powerfactor gesamt;wechselrichter_Lebensdauer Energie [Wh];wechselrichter_DC Leistung gesamt [W];sim_data_timestamp;sim_data_pv_power_mpp;sim_data_voltage_mpp;sim_data_amps_mpp;sim_data_load_power_total;sim_data_load_power_phase;sim_data_expected_power
2026-04-10 17:03:54;0.4512031078338623;0.3958406448364258;0.4057009518146515;233.77098083496094;235.0171356201172;235.46090698242188;406.1034240722656;407.47930908203125;406.3505554199219;103.7576675415039;92.17546081542969;94.96701049804688;-59.18948745727539;-58.941078186035156;-69.46435546875;-30.559959411621094;35.751976013183594;34.9039306640625;0.6347770094871521;0.7280853390693665;0.8082152009010315;50.051788330078125;305.9580078125;-226.17031860351562;48.74701690673828;0.7381057739257812;-0.5879999995231628;-0.503000020980835;-0.503000020980835;-1.593999981880188;252.3000030517578;250.8000030517578;249.60000610351562;435.6000061035156;433.29998779296875;434.6000061035156;-333.8999938964844;-108.4000015258789;-110.0999984741211;-113.80000305175781;-23.0;-59.5;18.799999237060547;17.600000381469727;350.0;123.0;111.69999694824219;115.19999694824219;-0.996999979019165;-0.8700000047683716;0.9890000224113464;0.9929999709129333;50.0;MPPT;50.059059143066406;0.6760539412498474;0.6690597534179688;0.6802141070365906;251.2209930419922;249.75054931640625;248.66653442382812;433.43853759765625;431.2196044921875;433.7545471191406;505.987548828125;-4.786538124084473;506.01019287109375;99.99552154541016;156945.375;544.617919921875;2016-04-20 06:15:00;554.2330585770577;581.7649424422661;0.9526752441464953;168.31390020725533;56;-374.83449719826126
2026-04-10 17:04:29;1.0354338884353638;1.0393787622451782;1.0962129831314087;234.09573364257812;235.63742065429688;235.57806396484375;406.78411865234375;408.0627746582031;406.804443359375;242.819091796875;244.73355102539062;257.31591796875;-230.8993377685547;-234.2561798095703;-251.71038818359375;-21.59467124938965;50.36971664428711;36.95063018798828;0.9502665996551514;0.959152340888977;0.9747462868690491;50.028507232666016;747.037841796875;-715.9017333984375;78.90858459472656;0.9583959579467773;-1.2070000171661377;-1.1770000457763672;-1.1859999895095825;-3.569999933242798;253.0;251.5;250.3000030517578;436.8999938964844;434.5;435.79998779296875;-864.2999877929688;-285.29998779296875;-288.70001220703125;-291.1000061035156;-39.099998474121094;-65.69999694824219;13.800000190734863;12.699999809265137;873.7999877929688;293.29998779296875;289.1000061035156;291.29998779296875;-0.9990000128746033;-0.9750000238418579;0.9990000128746033;0.9990000128746033;50.0;MPPT;50.037174224853516;1.396289587020874;1.389305830001831;1.400164008140564;251.9203338623047;250.55108642578125;249.32192993164062;434.7928161621094;432.4963684082031;434.8585510253906;1048.927490234375;-2.538926124572754;1048.9305419921875;99.99971008300781;156945.375;1095.0645751953125;2016-04-20 06:30:00;1108.4661171541154;585.5864774538866;1.8929161786209523;188.1159502023207;62;-898.1808446087124
2026-04-10 17:05:04;1.7617361545562744;1.7761410474777222;1.856067180633545;234.24032592773438;235.9928436279297;235.9486541748047;407.1331787109375;408.6288757324219;407.16497802734375;412.1258850097656;419.4569396972656;438.22247314453125;-406.7703552246094;-410.355712890625;-434.3215026855469;0.0;76.50955200195312;55.72160339355469;0.9899566769599915;0.9775772094726562;0.990738570690155;50.030757904052734;1270.18017578125;-1251.59912109375;121.48284149169922;0.986361563205719;-1.9279999732971191;-1.9240000247955322;-1.934000015258789;-5.785999774932861;253.5;252.1999969482422;250.89999389648438;437.8999938964844;435.6000061035156;436.79998779296875;-1444.300048828125;-479.0;-480.29998779296875;-481.70001220703125;-32.400001525878906;-62.900001525878906;16.399999618530273;14.100000381469727;1444.300048828125;481.6000061035156;480.6000061035156;481.8999938964844;1.0;-0.9909999966621399;1.0;1.0;50.0;MPPT;50.03473663330078;2.1047565937042236;2.097726821899414;2.1086390018463135;252.4359893798828;251.26438903808594;250.03359985351562;435.75274658203125;433.6783447265625;436.075439453125;1585.5528564453125;-3.2278661727905273;1585.55615234375;99.99979400634766;156945.375;1644.2103271484375;2016-04-20 06:45:00;1662.697434726846;589.4080004609741;2.8209617674453957;158.4163999605228;52;-1471.0270860717862
2026-04-10 17:05:36;2.383780002593994;2.407102584838867;2.506864547729492;233.96517944335938;235.43600463867188;235.7742156982422;406.7618713378906;408.3042297363281;406.82928466796875;557.3418579101562;565.9804077148438;590.48486328125;-556.2889404296875;-559.8566284179688;-589.1015014648438;0.0;76.87590026855469;49.86739730834961;0.9964665174484253;0.9877975583076477;0.9977695345878601;49.99700164794922;1715.767333984375;-1703.63720703125;142.6691131591797;0.9930943846702576;-2.562000036239624;-2.568000078201294;-2.5759999752044678;-7.705999851226807;253.8000030517578;252.3000030517578;251.3000030517578;438.20001220703125;436.1000061035156;437.3999938964844;-1927.5999755859375;-640.2999877929688;-643.4000244140625;-644.4000244140625;-46.0;-68.19999694824219;13.199999809265137;9.0;1932.5;644.4000244140625;643.5;644.4000244140625;1.0;-0.9950000047683716;1.0;1.0;50.0;MPPT;50.00919723510742;2.819777488708496;2.812741994857788;2.8242576122283936;252.70855712890625;251.7404022216797;250.39512634277344;436.45574951171875;434.43994140625;436.53472900390625;2127.680419921875;5.794498920440674;2127.688232421875;-99.9996337890625;156945.375;2196.67431640625;2016-04-20 07:00:00;2216.9252702909216;593.2294994589957;3.737044891248124;217.8225499457188;72;-1954.7642149393844
2026-04-10 17:06:10;2.739988327026367;2.758862018585205;2.8701298236846924;234.13003540039062;235.55967712402344;235.83583068847656;407.029541015625;408.51934814453125;407.1138916015625;641.325927734375;650.3902587890625;677.4354858398438;-639.194091796875;-642.7854614257812;-674.723388671875;20.316804885864258;93.32577514648438;62.93424606323242;0.9979994297027588;0.9880217909812927;0.9971557855606079;50.01874923706055;1967.9423828125;-1958.1832275390625;165.241943359375;0.9943941235542297;-2.9159998893737793;-2.9260001182556152;-2.937000036239624;-8.779000282287598;254.0;252.8000030517578;251.39999389648438;438.8999938964844;436.70001220703125;437.70001220703125;-2205.0;-732.7999877929688;-735.9000244140625;-736.2000122070312;-42.20000076293945;-66.4000015258789;14.199999809265137;10.0;2208.199951171875;735.7999877929688;736.2000122070312;736.2999877929688;1.0;-0.9959999918937683;1.0;1.0;50.0;MPPT;50.027442932128906;3.1902334690093994;3.1829516887664795;3.194026231765747;253.1400604248047;251.936279296875;250.71530151367188;436.98223876953125;434.89508056640625;437.19366455078125;2410.205810546875;-5.795459270477295;2410.212646484375;99.99971771240234;156945.375;2484.556884765625;2016-04-20 07:15:00;2505.235586902231;595.2174501091612;4.2089417681601535;227.72005019245137;75;-2227.410824971735
2026-04-10 17:06:44;3.1017849445343018;3.13118577003479;3.255861282348633;234.16912841796875;235.63973999023438;235.81275939941406;406.8218994140625;408.24737548828125;406.9506530761719;726.92431640625;736.48681640625;766.1770629882812;-725.7933349609375;-729.7715454101562;-765.6315307617188;26.860782623291016;101.83535766601562;67.8420639038086;0.9992073178291321;0.990116536617279;0.9974108934402466;50.01424789428711;2230.18603515625;-2222.099853515625;200.9265594482422;0.9953442811965942;-3.2780001163482666;-3.2960000038146973;-3.309000015258789;-9.883000373840332;254.3000030517578;252.6999969482422;251.60000610351562;439.0;436.70001220703125;438.1000061035156;-2487.199951171875;-827.4000244140625;-829.9000244140625;-829.9000244140625;-24.5;-60.900001525878906;20.600000381469727;15.100000381469727;2488.89990234375;829.2999877929688;829.9000244140625;829.5;1.0;-0.996999979019165;1.0;1.0;50.0;MPPT;50.0213623046875;3.5574259757995605;3.5494778156280518;3.5611684322357178;253.44271850585938;251.93923950195312;250.8976593017578;437.2725830078125;435.0658264160156;437.5789794921875;2689.353759765625;-8.850423812866211;2689.368408203125;99.99945831298828;156945.375;2769.102294921875;2016-04-20 07:30:00;2793.5284934702663;597.2052807139976;4.677668774345769;227.72005019245137;75;-2509.93787340841
2026-04-10 17:07:17;3.5330309867858887;3.558854579925537;3.6970574855804443;234.11233520507812;235.5767059326172;235.86727905273438;406.73468017578125;408.2431945800781;406.9008483886719;828.9310913085938;837.8323364257812;871.40478515625;-828.787109375;-832.283203125;-871.2320556640625;26.31266975402832;100.82009887695312;65.32844543457031;1.0;0.9931809306144714;0.9984049201011658;49.99175262451172;2537.621826171875;-2531.338623046875;196.46051025390625;0.9971543550491333;-3.7200000286102295;-3.7330000400543213;-3.74399995803833;-11.196999549865723;254.39999389648438;252.8000030517578;251.89999389648438;439.20001220703125;437.0;438.3999938964844;-2821.300048828125;-938.7999877929688;-941.7000122070312;-941.7000122070312;-56.20000076293945;-71.5999984741211;10.399999618530273;4.800000190734863;2825.60009765625;942.0999755859375;941.7000122070312;941.7000122070312;1.0;-0.996999979019165;1.0;1.0;50.0;MPPT;50.00433349609375;3.922358512878418;3.914386749267578;3.926347255706787;253.6111602783203;252.23147583007812;251.18641662597656;437.6110534667969;435.6274108886719;437.9753723144531;2965.22802734375;-7.4585862159729;2965.237548828125;99.99967956542969;156945.375;3052.65869140625;2016-04-20 07:45:00;3081.8388100815755;599.1932313641631;5.143313790553435;178.21844995558814;59;-2841.9835839243556
2026-04-10 17:07:53;3.941141366958618;3.9610984325408936;4.112177848815918;234.19561767578125;235.75791931152344;235.6744384765625;406.9415283203125;408.2269287109375;406.9144592285156;923.576416015625;932.1256103515625;968.4962158203125;-923.8060913085938;-927.3335571289062;-968.6073608398438;35.42567825317383;112.58583068847656;73.32311248779297;1.0;0.9924279451370239;0.9987967014312744;50.00600051879883;2825.302978515625;-2818.698486328125;224.39077758789062;0.9967655539512634;-4.123000144958496;-4.139999866485596;-4.1529998779296875;-12.416000366210938;254.89999389648438;253.60000610351562;252.3000030517578;440.29998779296875;438.1000061035156;439.20001220703125;-3134.199951171875;-1043.4000244140625;-1047.199951171875;-1045.800048828125;-44.79999923706055;-67.19999694824219;13.899999618530273;8.399999618530273;3139.39990234375;1046.199951171875;1047.300048828125;1045.9000244140625;1.0;-0.9980000257492065;1.0;1.0;50.0;MPPT;50.010414123535156;4.28863000869751;4.280753135681152;4.292331218719482;253.8732452392578;252.55250549316406;251.4560089111328;438.160400390625;436.1853332519531;438.3443603515625;3249.1669921875;-16.931743621826172;3249.211181640625;99.99864196777344;156945.375;3343.84228515625;2016-04-20 08:00:00;3370.131716649611;601.1810619689995;5.605851431200597;148.51185021218998;49;-3154.2172321044286
2026-04-10 17:08:27;4.320842266082764;4.338550090789795;4.492849826812744;234.09230041503906;235.8455047607422;235.97015380859375;407.1449279785156;408.6282653808594;407.2391357421875;1012.910888671875;1022.7704467773438;1061.2464599609375;-1012.396484375;-1016.4448852539062;-1060.7322998046875;41.292633056640625;116.93709564208984;75.70746612548828;1.0;0.9933532476425171;0.9989244937896729;50.0;3098.404296875;-3087.62841796875;240.47215270996094;0.9968644976615906;-4.493000030517578;-4.51800012588501;-4.5279998779296875;-13.538999557495117;255.1999969482422;253.8000030517578;252.5;440.79998779296875;438.3999938964844;439.6000061035156;-3427.10009765625;-1141.0999755859375;-1143.699951171875;-1141.5999755859375;-46.29999923706055;-67.9000015258789;13.800000190734863;7.699999809265137;3428.199951171875;1142.699951171875;1143.699951171875;1141.699951171875;1.0;-0.9980000257492065;1.0;1.0;49.900001525878906;MPPT;50.010414123535156;4.646600723266602;4.639092922210693;4.650445461273193;254.3246612548828;252.91883850097656;251.89833068847656;438.8684997558594;436.74365234375;439.1721496582031;3519.8212890625;-8.752979278564453;3519.832275390625;99.99968719482422;156945.375;3621.2490234375;2016-04-20 08:15:00;3658.2505227849106;603.1676921205448;6.065063780063669;138.61434996545742;46;-3446.471162363755
2026-04-10 17:09:04;4.667853355407715;4.6944708824157715;4.864145278930664;234.14837646484375;235.6240692138672;235.85244750976562;406.7601013183594;408.3551025390625;407.0079650878906;1095.232421875;1105.40380859375;1147.0787353515625;-1094.5050048828125;-1097.9849853515625;-1144.810791015625;49.303524017333984;125.54084777832031;81.45701599121094;1.0;0.9942914843559265;0.9999878406524658;50.00149917602539;3349.306884765625;-3337.82470703125;243.03143310546875;0.9979052543640137;-4.8470001220703125;-4.874000072479248;-4.877999782562256;-14.598999977111816;255.3000030517578;253.60000610351562;252.6999969482422;440.70001220703125;438.3999938964844;439.8999938964844;-3702.5;-1233.4000244140625;-1232.699951171875;-1231.199951171875;-63.5;-73.9000015258789;10.300000190734863;0.0;3697.60009765625;1233.5;1232.800048828125;1231.199951171875;1.0;-0.9980000257492065;1.0;1.0;50.0;MPPT;50.00798034667969;5.011139392852783;5.002749919891357;5.014945030212402;254.5093536376953;253.2046356201172;252.08599853515625;439.2900390625;437.3626708984375;439.4778747558594;3808.26513671875;1.8132652044296265;3808.265625;-99.99998474121094;156945.375;3914.806640625;2016-04-20 08:30:00;3946.3867389634834;605.154442317419;6.521288555448631;148.51185021218998;49;-3718.9471539720234
